City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Jacksonville,US,63.0,clear sky,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
1,Ushuaia,AR,50.0,broken clouds,-54.8,-68.3,Albatros Hotel
5,Busselton,AU,68.0,few clouds,-33.65,115.33,Observatory Guest House
9,Bredasdorp,ZA,66.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
12,Saint-Francois,FR,66.0,clear sky,46.42,3.91,Manoir Du Bonheur
13,Puerto Ayora,EC,69.01,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
14,Tuatapere,NZ,55.99,overcast clouds,-46.13,167.68,Ron and Tony's Bed & Breakfast
16,Saint-Philippe,RE,68.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
19,Hermanus,ZA,66.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
22,Punta Arenas,CL,53.6,broken clouds,-53.15,-70.92,Hotel Dreams Del Estrecho
24,Port Elizabeth,ZA,64.4,clear sky,-33.92,25.57,39 On Nile Guest House
27,Mataura,NZ,55.99,light rain,-46.19,168.86,Ellie's Villa
38,Airai,TL,62.04,broken clouds,-8.93,125.41,Juvinal Martin
41,Kapaa,US,66.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
44,Cidreira,BR,65.3,broken clouds,-30.18,-50.21,Hotel Castelo
51,Narrabri,AU,62.6,overcast clouds,-30.32,149.78,Crossroads Hotel
52,Beni,CD,66.94,overcast clouds,0.5,29.47,Albertine hotel
54,Waipawa,NZ,62.6,overcast clouds,-41.41,175.52,Tora Coastal Walk
55,Port Alfred,ZA,63.59,overcast clouds,-33.59,26.89,The Halyards Hotel
57,Ribeira Grande,PT,69.8,broken clouds,38.52,-28.7,Quinta da Meia Eira
59,Hualmay,PE,68.22,overcast clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
63,Castro,BR,57.51,overcast clouds,-24.79,-50.01,CHACARA BAILLY
69,La Union,PE,69.73,overcast clouds,-5.4,-80.75,Los Portales
72,Kaitangata,NZ,57.99,light rain,-46.28,169.85,Kaitangata Motor Camp
75,Cape Town,ZA,64.4,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
78,Saldanha,ZA,68.0,clear sky,-33.01,17.94,Blue Bay Lodge
85,Bluff,NZ,55.99,moderate rain,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
91,Chuy,UY,61.97,broken clouds,-33.7,-53.46,Nuevo Hotel Plaza
92,Ucluelet,CA,51.01,broken clouds,48.93,-125.55,Black Rock Oceanfront Resort
98,Coquimbo,CL,55.4,overcast clouds,-29.95,-71.34,Hotel San Juan
106,Bam,IR,59.67,clear sky,29.11,58.36,Bam Tourist Hotel
107,Alice Springs,AU,64.4,clear sky,-23.7,133.88,Desert Palms Alice Springs
110,San Patricio,US,55.99,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
123,Katsuura,JP,55.4,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
127,Esperance,AU,59.0,overcast clouds,-33.87,121.9,Hospitality Esperance
135,Beyneu,KZ,52.63,overcast clouds,45.32,55.2,NUR
140,Yulara,AU,66.2,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
143,Ahipara,NZ,62.17,light rain,-35.17,173.17,Ahipara Holiday Park
156,Ancud,CL,55.0,clear sky,-41.87,-73.82,Hotel Arena Gruesa
159,Graaff-Reinet,ZA,66.99,broken clouds,-32.25,24.53,Rietjiesbos B&B
162,Vitre,FR,61.0,overcast clouds,48.12,-1.21,ibis Vitré Centre
171,Guerrero Negro,MX,67.71,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
174,Guilin,CN,69.8,broken clouds,25.28,110.29,Grand 0773 Hotel
176,Arcachon,FR,70.0,clear sky,44.59,-1.05,Hôtel All Suites Le Teich
184,Pimentel,PE,62.6,mist,-6.84,-79.93,Casona Del Muelle
188,Gazanjyk,TM,58.3,clear sky,39.24,55.52,Railway motel
197,San Antonio,US,53.01,clear sky,29.42,-98.49,Marriott Plaza San Antonio
199,Newport,GB,59.0,overcast clouds,51.59,-3.0,ibis budget Newport
200,Barcelos,PT,69.01,clear sky,41.54,-8.62,Hotel Do Terço
205,Raymondville,US,60.01,broken clouds,26.48,-97.78,La Quinta Inn & Suites by Wyndham Raymondville
207,Xiongzhou,CN,63.05,clear sky,25.12,114.3,Xinhewan Business Hotel
211,Rotenburg,DE,57.0,overcast clouds,53.12,9.4,Hotel Landhaus Wachtelhof
215,Ixtlan,MX,63.14,scattered clouds,20.18,-102.4,Parada de autobús Ixtlán
222,San Carlos De Bariloche,AR,62.6,clear sky,-41.15,-71.31,Hotel Patagonia
223,Mahon,ES,69.8,few clouds,39.89,4.27,ARTIEM Capri
224,Cao Bang,VN,67.59,overcast clouds,22.67,106.25,khách sạn 88
225,Kruisfontein,ZA,62.01,scattered clouds,-34.0,24.73,Oyster Bay House Rental
227,Wilmington,US,70.0,clear sky,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
229,Northam,GB,57.99,overcast clouds,51.03,-4.22,Durrant House Hotel
241,Tandil,AR,68.0,clear sky,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
248,Portland,US,50.0,light rain,45.52,-122.68,The Bidwell Marriott Portland
253,Taltal,CL,64.67,clear sky,-25.4,-70.48,Residencial Karime
254,Mahebourg,MU,70.0,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
256,Cabo San Lucas,MX,64.4,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
257,Muros,ES,64.99,overcast clouds,42.78,-9.06,Apartment Av. Castelao
258,Bako,ET,67.05,light rain,5.78,36.57,Arkisha Sefer
263,Wellington,NZ,62.6,very heavy rain,-41.29,174.78,CityLife Wellington
266,Lebu,CL,59.49,clear sky,-37.62,-73.65,Hostal Las Lilas
276,Lagoa,PT,68.85,overcast clouds,39.05,-27.98,Casa Das Faias
291,East London,ZA,60.8,light rain,-33.02,27.91,Tu Casa
295,San Joaquin,US,51.01,clear sky,37.93,-121.3,University Plaza Waterfront Hotel
296,Aktau,KZ,55.4,scattered clouds,43.65,51.2,Silk Way Hotel
297,Bambous Virieux,MU,70.0,light rain,-20.34,57.76,Casa Tia Villa
299,Codrington,AU,51.48,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
302,Vierzon,FR,64.4,broken clouds,47.21,2.06,Arche Hôtel Vierzon
305,Adelaide,AU,59.0,light intensity drizzle,-34.93,138.6,The Chancellor on Currie
