City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Jacksonville,US,30.33,-81.66,63.0,58,1,11.41,clear sky
1,Ushuaia,AR,-54.8,-68.3,50.0,61,75,29.97,broken clouds
2,Arraial Do Cabo,BR,-22.97,-42.03,78.8,83,75,11.41,broken clouds
3,Bonavista,CA,48.65,-53.11,36.0,58,48,17.0,scattered clouds
4,Mana,GF,5.66,-53.78,87.55,65,65,13.85,broken clouds
5,Busselton,AU,-33.65,115.33,68.0,46,16,2.62,few clouds
6,Pevek,RU,69.7,170.31,23.13,92,77,8.95,broken clouds
7,Vaini,TO,-21.2,-175.2,71.6,78,75,8.05,broken clouds
8,Chokurdakh,RU,70.63,147.92,3.76,94,100,6.22,overcast clouds
9,Bredasdorp,ZA,-34.53,20.04,66.2,39,0,11.41,clear sky
10,Gizo,SB,-8.1,156.84,80.19,82,100,11.59,moderate rain
11,Khatanga,RU,71.97,102.5,-9.04,84,0,4.88,clear sky
12,Saint-Francois,FR,46.42,3.91,66.0,63,0,4.7,clear sky
13,Puerto Ayora,EC,-0.74,-90.35,69.01,95,96,4.0,overcast clouds
14,Tuatapere,NZ,-46.13,167.68,55.99,97,100,5.01,overcast clouds
15,Rikitea,PF,-23.12,-134.97,74.97,71,64,5.79,broken clouds
16,Saint-Philippe,RE,-21.36,55.77,68.0,68,75,14.99,broken clouds
17,Fowa,NG,8.92,6.4,95.04,34,50,4.38,scattered clouds
18,Jamestown,US,42.1,-79.24,37.99,93,90,8.05,light rain
19,Hermanus,ZA,-34.42,19.23,66.0,50,0,5.99,clear sky
20,Port-Gentil,GA,-0.72,8.78,84.2,79,20,12.75,few clouds
21,College,US,64.86,-147.8,12.0,85,90,5.82,light snow
22,Punta Arenas,CL,-53.15,-70.92,53.6,66,75,35.57,broken clouds
23,Lompoc,US,34.64,-120.46,46.4,93,90,4.85,overcast clouds
24,Port Elizabeth,ZA,-33.92,25.57,64.4,52,0,11.41,clear sky
25,Srednekolymsk,RU,67.45,153.68,5.49,94,100,4.23,overcast clouds
26,Bethel,US,41.37,-73.41,34.0,95,90,6.93,moderate rain
27,Mataura,NZ,-46.19,168.86,55.99,97,100,5.01,light rain
28,San Cosme Y Damian,PY,-27.32,-56.35,71.6,53,0,9.17,clear sky
29,Ketchikan,US,55.34,-131.65,42.8,80,40,11.41,scattered clouds
30,Kodiak,US,57.79,-152.41,33.8,74,90,5.82,overcast clouds
31,Castro Verde,PT,37.7,-8.09,77.0,36,0,2.24,clear sky
32,Vostok,RU,46.49,135.88,24.78,99,100,4.05,overcast clouds
33,Taveta,KE,-3.4,37.67,75.2,64,75,11.41,broken clouds
34,Lobanovo,RU,57.86,56.3,37.4,69,0,8.95,light rain
35,Okhotsk,RU,59.38,143.3,22.37,89,100,14.54,overcast clouds
36,Ubinskoye,RU,55.31,79.68,34.3,98,100,8.48,overcast clouds
37,Caravelas,BR,-17.71,-39.25,84.18,60,8,12.46,clear sky
38,Airai,TL,-8.93,125.41,62.04,100,67,1.28,broken clouds
39,Palmer,US,42.16,-72.33,34.0,98,90,9.17,snow
40,Tautira,PF,-17.73,-149.15,77.0,78,20,3.36,few clouds
41,Kapaa,US,22.08,-159.32,66.2,88,1,9.17,clear sky
42,Alofi,NU,-19.06,-169.92,71.6,94,63,12.75,light rain
43,Carnarvon,AU,-24.87,113.63,73.4,78,90,11.41,overcast clouds
44,Cidreira,BR,-30.18,-50.21,65.3,58,79,9.42,broken clouds
45,Aloleng,PH,16.13,119.78,81.52,77,82,8.21,broken clouds
46,Kanniyakumari,IN,8.08,77.57,81.09,80,10,5.68,clear sky
47,Pozo Colorado,PY,-23.49,-58.8,77.23,48,34,8.59,scattered clouds
48,Ushtobe,KZ,45.25,77.98,41.38,63,0,7.38,clear sky
49,Methoni,GR,36.82,21.7,71.6,56,20,10.29,few clouds
50,Torbay,CA,47.67,-52.73,36.0,50,58,1.99,broken clouds
51,Narrabri,AU,-30.32,149.78,62.6,51,98,5.82,overcast clouds
52,Beni,CD,0.5,29.47,66.94,99,100,2.04,overcast clouds
53,Lucapa,AO,-8.42,20.74,78.17,67,59,3.29,broken clouds
54,Waipawa,NZ,-41.41,175.52,62.6,88,98,19.46,overcast clouds
55,Port Alfred,ZA,-33.59,26.89,63.59,53,91,6.85,overcast clouds
56,Butaritari,KI,3.07,172.79,81.57,77,96,16.53,light rain
57,Ribeira Grande,PT,38.52,-28.7,69.8,88,75,24.16,broken clouds
58,Angostura,MX,25.37,-108.18,72.46,45,39,2.37,scattered clouds
59,Hualmay,PE,-11.1,-77.61,68.22,69,100,7.85,overcast clouds
60,Upernavik,GL,72.79,-56.15,22.35,97,100,3.62,overcast clouds
61,Vung Tau,VN,10.35,107.08,81.03,83,10,16.17,clear sky
62,Georgetown,MY,5.41,100.34,82.4,83,20,2.26,few clouds
63,Castro,BR,-24.79,-50.01,57.51,89,100,11.23,overcast clouds
64,San Carlos,VE,9.66,-68.58,86.32,66,71,3.98,broken clouds
65,Laguna,US,38.42,-121.42,42.8,81,1,3.36,clear sky
66,Karla,EE,59.37,24.93,46.4,93,90,3.36,mist
67,Maceio,BR,-9.67,-35.74,86.0,62,40,12.75,scattered clouds
68,Albany,US,42.6,-73.97,33.01,89,100,8.03,overcast clouds
69,La Union,PE,-5.4,-80.75,69.73,67,100,8.99,overcast clouds
70,Tiarei,PF,-17.53,-149.33,77.0,78,20,3.36,few clouds
71,Daru,PG,-9.08,143.21,78.75,87,56,9.04,broken clouds
72,Kaitangata,NZ,-46.28,169.85,57.99,95,100,1.01,light rain
73,Broome,US,42.25,-75.83,37.0,90,90,4.7,mist
74,Luderitz,NA,-26.65,15.16,69.35,42,45,34.34,scattered clouds
75,Cape Town,ZA,-33.93,18.42,64.4,52,0,25.28,clear sky
76,Qarchi Gak,AF,37.04,66.79,55.4,32,0,6.93,clear sky
77,Yellowknife,CA,62.46,-114.35,17.01,96,100,1.99,overcast clouds
78,Saldanha,ZA,-33.01,17.94,68.0,40,0,21.92,clear sky
79,Praia Da Vitoria,PT,38.73,-27.07,71.6,78,20,29.68,few clouds
80,Kahului,US,20.89,-156.47,77.0,78,90,4.7,moderate rain
81,Nikolskoye,RU,59.7,30.79,48.2,87,20,4.47,few clouds
82,Itoman,JP,26.12,127.67,73.4,56,40,13.87,scattered clouds
83,Hilo,US,19.73,-155.09,75.2,88,90,2.1,overcast clouds
84,Olafsvik,IS,64.89,-23.71,41.61,78,76,11.48,broken clouds
85,Bluff,NZ,-46.6,168.33,55.99,97,100,5.01,moderate rain
86,Bengkulu,ID,-3.8,102.27,76.66,88,100,5.06,heavy intensity rain
87,Egvekinot,RU,66.32,-179.17,11.08,85,100,7.52,overcast clouds
88,Ilulissat,GL,69.22,-51.1,17.6,61,40,3.36,scattered clouds
89,Pias,PH,15.35,121.07,77.0,94,75,2.24,broken clouds
90,Cayenne,GF,4.93,-52.33,89.6,62,75,12.75,broken clouds
