City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2020-10-29 18:14:23,73.51,80.55,4.05,91,66,21.94
1,Rikitea,PF,2020-10-29 18:14:53,-23.12,-134.97,74.64,73,100,10.69
2,Norman Wells,CA,2020-10-29 18:14:53,65.28,-126.83,11.17,91,10,2.91
3,Le Port,RE,2020-10-29 18:14:53,-20.94,55.29,71.6,64,0,25.28
4,Los Llanos De Aridane,ES,2020-10-29 18:14:53,28.66,-17.92,71.6,68,75,14.99
5,Port Keats,AU,2020-10-29 18:14:53,-14.25,129.55,81.66,76,78,6.04
6,Taoudenni,ML,2020-10-29 18:14:53,22.68,-3.98,87.48,13,0,13.2
7,Chernyshevskiy,RU,2020-10-29 18:14:54,63.01,112.47,5.47,90,100,10.89
8,Okhotsk,RU,2020-10-29 18:14:54,59.38,143.3,27.3,96,100,9.57
9,Hilo,US,2020-10-29 18:12:54,19.73,-155.09,73.99,73,90,4.7
10,Mataura,NZ,2020-10-29 18:14:54,-46.19,168.86,52.0,92,82,4.0
11,Osoyoos,CA,2020-10-29 18:14:54,49.03,-119.45,41.0,80,1,2.08
12,Aykhal,RU,2020-10-29 18:14:48,66.0,111.5,-8.46,89,47,2.48
13,Ushuaia,AR,2020-10-29 18:14:15,-54.8,-68.3,46.4,81,75,34.45
14,Cockburn Town,TC,2020-10-29 18:14:55,21.46,-71.14,82.85,76,12,18.79
15,Sao Jose Da Coroa Grande,BR,2020-10-29 18:14:55,-8.9,-35.15,81.9,65,28,10.27
16,Gulu,UG,2020-10-29 18:14:55,2.77,32.3,67.32,94,100,6.53
17,Puerto Ayora,EC,2020-10-29 18:14:55,-0.74,-90.35,77.0,73,75,9.17
18,Rodrigues Alves,BR,2020-10-29 18:14:55,-7.74,-72.65,96.73,40,50,4.94
19,Upernavik,GL,2020-10-29 18:14:56,72.79,-56.15,20.28,85,98,5.19
20,Cabo San Lucas,MX,2020-10-29 18:14:56,22.89,-109.91,82.99,50,5,3.36
21,Havre-Saint-Pierre,CA,2020-10-29 18:14:56,50.23,-63.6,36.23,80,70,18.92
22,Kapaa,US,2020-10-29 18:14:56,22.08,-159.32,64.4,93,1,5.82
23,Manta,EC,2020-10-29 18:14:56,-0.95,-80.73,80.6,69,20,13.87
24,Pisco,PE,2020-10-29 18:14:21,-13.7,-76.22,66.99,77,0,11.41
25,Sanchor,IN,2020-10-29 18:14:57,24.76,71.77,76.75,25,0,3.44
26,Olinda,BR,2020-10-29 18:14:57,-8.01,-34.86,84.2,66,20,11.41
27,Yellowknife,CA,2020-10-29 18:14:57,62.46,-114.35,17.01,85,5,5.99
28,Makakilo City,US,2020-10-29 18:14:57,21.35,-158.09,73.4,88,90,3.36
29,Vestmannaeyjar,IS,2020-10-29 18:14:29,63.44,-20.27,44.6,87,40,14.99
30,Yumen,CN,2020-10-29 18:14:57,40.28,97.2,36.86,69,97,5.5
31,Fairbanks,US,2020-10-29 18:11:36,64.84,-147.72,15.8,85,90,1.05
32,Itoman,JP,2020-10-29 18:14:58,26.12,127.67,75.2,78,75,6.93
33,Provideniya,RU,2020-10-29 18:12:09,64.38,-173.3,22.3,86,0,6.98
34,Hami,CN,2020-10-29 18:14:58,42.8,93.45,47.37,48,100,13.76
35,Cap-Aux-Meules,CA,2020-10-29 18:14:58,47.38,-61.86,42.53,71,92,23.76
36,Meulaboh,ID,2020-10-29 18:14:58,4.14,96.13,77.04,84,96,3.44
37,Mezen,RU,2020-10-29 18:14:58,65.85,44.24,42.76,90,97,11.41
38,Saldanha,ZA,2020-10-29 18:14:59,-33.01,17.94,55.4,58,11,6.93
39,Campoverde,PE,2020-10-29 18:14:59,-8.48,-74.81,89.6,66,75,9.17
40,Punta Arenas,CL,2020-10-29 18:14:59,-53.15,-70.92,51.8,62,40,43.62
41,Port Alfred,ZA,2020-10-29 18:14:59,-33.59,26.89,62.87,83,100,21.97
42,Jacqueville,CI,2020-10-29 18:14:59,5.21,-4.41,82.4,83,75,6.93
43,Valverde Del Camino,ES,2020-10-29 18:14:59,37.58,-6.75,73.0,46,0,3.0
44,Cape Town,ZA,2020-10-29 18:10:53,-33.93,18.42,57.0,50,20,6.93
45,Arraial Do Cabo,BR,2020-10-29 18:15:00,-22.97,-42.03,82.4,88,75,9.17
46,Jasper,US,2020-10-29 18:14:26,37.2,-94.35,46.99,87,90,12.75
47,Pevek,RU,2020-10-29 18:12:08,69.7,170.31,18.77,93,99,8.14
48,Hermanus,ZA,2020-10-29 18:15:00,-34.42,19.23,53.01,70,64,1.01
49,Chokurdakh,RU,2020-10-29 18:15:00,70.63,147.92,-5.17,91,68,5.86
50,Saskylakh,RU,2020-10-29 18:14:30,71.92,114.08,-0.22,84,2,4.36
51,Chuy,UY,2020-10-29 18:15:00,-33.7,-53.46,61.66,61,43,15.37
52,New Norfolk,AU,2020-10-29 18:15:00,-42.78,147.06,53.6,76,90,3.36
53,Hamilton,US,2020-10-29 18:15:01,39.18,-84.53,48.99,93,90,17.22
54,Vaini,TO,2020-10-29 18:15:01,-21.2,-175.2,69.8,77,20,6.93
55,Nauta,PE,2020-10-29 18:15:01,-4.51,-73.58,93.4,49,29,3.67
56,East London,ZA,2020-10-29 18:15:03,-33.02,27.91,64.4,82,75,17.22
57,Qaanaaq,GL,2020-10-29 18:15:04,77.48,-69.36,5.29,73,0,5.66
58,Atuona,PF,2020-10-29 18:15:05,-9.8,-139.03,78.12,67,36,17.92
59,Noumea,NC,2020-10-29 18:15:05,-22.28,166.46,71.6,64,0,2.24
60,Hithadhoo,MV,2020-10-29 18:15:06,-0.6,73.08,83.39,74,42,11.39
61,Coquimbo,CL,2020-10-29 18:10:55,-29.95,-71.34,60.8,67,20,14.99
62,Bumbesti-Jiu,RO,2020-10-29 18:15:06,45.17,23.4,51.96,75,44,3.96
63,Namatanai,PG,2020-10-29 18:15:06,-3.67,152.43,79.34,78,18,5.97
64,Busselton,AU,2020-10-29 18:15:07,-33.65,115.33,61.0,40,0,12.55
65,Tautira,PF,2020-10-29 18:15:07,-17.73,-149.15,78.8,83,20,9.17
66,Clyde River,CA,2020-10-29 18:15:08,70.47,-68.59,20.46,95,100,9.51
67,Carnarvon,AU,2020-10-29 18:14:49,-24.87,113.63,71.6,100,90,8.05
68,Emba,KZ,2020-10-29 18:15:08,48.83,58.14,42.49,57,24,7.47
69,Vila Franca Do Campo,PT,2020-10-29 18:14:49,37.72,-25.43,69.8,88,75,16.11
70,Touros,BR,2020-10-29 18:12:48,-5.2,-35.46,86.0,58,75,17.22
71,Georgetown,MY,2020-10-29 18:15:09,5.41,100.34,80.6,88,20,4.7
72,Tasiilaq,GL,2020-10-29 18:15:09,65.61,-37.64,33.8,64,75,10.29
73,Cherskiy,RU,2020-10-29 18:15:09,68.75,161.3,6.66,91,100,4.59
74,Dakar,SN,2020-10-29 18:11:32,14.69,-17.44,91.4,52,0,6.93
75,Muros,ES,2020-10-29 18:15:10,42.78,-9.06,57.0,80,2,3.0
76,Bredasdorp,ZA,2020-10-29 18:15:10,-34.53,20.04,55.4,54,98,10.29
77,Swift Current,CA,2020-10-29 18:15:10,50.28,-107.8,41.38,81,100,9.08
78,Shache,CN,2020-10-29 18:15:11,38.42,77.24,41.63,47,96,5.53
79,Bengkulu,ID,2020-10-29 18:15:11,-3.8,102.27,75.49,88,99,7.49
80,Grado,ES,2020-10-29 18:15:11,43.39,-6.07,61.0,76,0,5.82
81,Mareeba,AU,2020-10-29 18:15:11,-17.0,145.43,71.6,94,20,0.49
82,Victor Harbor,AU,2020-10-29 18:15:12,-35.57,138.62,55.0,88,63,8.01
83,Rocha,UY,2020-10-29 18:12:47,-34.48,-54.33,61.07,59,1,18.79
84,Bluff,NZ,2020-10-29 18:14:13,-46.6,168.33,52.0,92,86,4.0
85,Requena,ES,2020-10-29 18:15:12,39.49,-1.1,61.0,60,0,2.75
86,Slave Lake,CA,2020-10-29 18:15:12,55.28,-114.77,33.94,89,93,5.66
87,Te Anau,NZ,2020-10-29 18:15:13,-45.42,167.72,52.57,91,100,1.52
88,Padang,ID,2020-10-29 18:14:11,-0.95,100.35,78.64,72,100,2.62
89,Eravur,LK,2020-10-29 18:15:13,7.77,81.61,79.52,81,79,8.68
90,Kollam,IN,2020-10-29 18:15:13,8.88,76.6,78.78,80,77,3.96
91,Batagay,RU,2020-10-29 18:15:13,67.63,134.63,1.85,93,100,0.74
92,Lebu,CL,2020-10-29 18:15:14,-37.62,-73.65,54.05,67,0,21.81
93,Siauliai,LT,2020-10-29 18:15:14,55.93,23.32,46.4,93,75,5.82
94,Urucui,BR,2020-10-29 18:15:14,-7.23,-44.56,99.91,31,40,6.49
95,Albany,US,2020-10-29 18:11:37,42.6,-73.97,46.99,90,100,2.1
96,Nelson Bay,AU,2020-10-29 18:15:14,-32.72,152.15,53.01,100,40,5.82
97,Itacarambi,BR,2020-10-29 18:15:15,-15.1,-44.09,88.75,49,88,3.38
98,Serabu,SL,2020-10-29 18:15:15,7.8,-12.05,80.76,81,20,4.09
99,Ust-Ishim,RU,2020-10-29 18:15:15,57.69,71.17,37.4,90,100,11.14
100,Jamestown,US,2020-10-29 18:12:00,42.1,-79.24,44.01,87,90,8.05
101,Hambantota,LK,2020-10-29 18:15:15,6.12,81.12,79.48,82,52,9.15
